x,y,z
-0.028,-0.004,1.001
-0.028,-0.004,1.001
-0.029,-0.004,1.003
-0.028,-0.004,1.001
-0.028,-0.004,1.001
-0.029,-0.004,1.001
-0.029,-0.004,1.001
-0.028,-0.004,1.001
-0.028,-0.005,1.001
-0.029,-0.004,1.001
-0.029,-0.003,1.001
-0.029,-0.004,1.001
-0.029,-0.004,1.001
-0.028,-0.004,1.001
-0.029,-0.003,1.001
-0.028,-0.004,1.001
-0.029,-0.004,1.001
-0.031,-0.002,1.001
-0.029,-0.002,1.008
-0.025,-0.009,1.006
-0.039,-0.001,1.004
-0.044,-0.003,1.002
-0.049,-0.007,1.001
-0.055,-0.005,1.001
-0.067,-0.001,1.009
-0.077,-0.005,1.003
-0.069,0.003,1.000
-0.077,-0.001,1.001
-0.089,-0.000,1.003
-0.091,-0.006,1.004
-0.099,-0.007,1.000
-0.106,-0.007,1.000
-0.117,-0.005,0.998
-0.119,-0.003,0.998
-0.123,-0.006,1.000
-0.134,-0.003,1.000
-0.139,-0.006,0.999
-0.141,-0.005,0.997
-0.147,-0.005,0.997
-0.156,-0.007,0.996
-0.157,-0.007,0.999
-0.168,-0.002,0.998
-0.186,-0.005,0.990
-0.189,-0.005,0.992
-0.209,-0.003,0.989
-0.212,-0.002,0.985
-0.215,-0.002,0.986
-0.235,-0.001,0.981
-0.234,0.000,0.979
-0.233,-0.000,0.982
-0.239,0.001,0.979
-0.239,0.003,0.980
-0.237,0.002,0.982
-0.240,0.007,0.984
-0.241,0.010,0.981
-0.242,0.006,0.985
-0.240,0.014,0.983
-0.240,0.011,0.987
-0.239,0.010,0.974
-0.240,0.016,0.973
-0.241,0.019,0.976
-0.271,0.002,0.985
-0.258,0.013,1.001
-0.220,0.028,0.983
-0.205,0.002,0.989
-0.213,0.022,0.985
-0.230,0.017,0.981
-0.240,0.016,0.984
-0.236,0.022,0.982
-0.230,0.013,0.987
-0.230,0.017,0.985
-0.229,0.012,0.983
-0.232,0.019,0.982
-0.234,0.021,0.983
-0.224,0.013,0.990
-0.218,0.018,0.988
-0.225,0.013,0.988
-0.239,0.020,0.982
-0.240,0.012,0.987
-0.230,0.014,0.986
-0.224,0.020,0.976
-0.235,0.011,0.984
-0.245,0.018,0.979
-0.233,0.012,0.985
-0.224,0.013,0.984
-0.232,0.012,0.983
-0.232,0.015,0.984
-0.232,0.010,0.977
-0.231,0.012,0.989
-0.233,0.017,0.987
-0.226,0.017,0.990
-0.230,0.017,0.985
-0.251,0.019,0.983
-0.250,0.020,0.987
-0.237,0.021,0.981
-0.242,0.018,0.989
-0.242,0.020,0.986
-0.240,0.016,0.981
-0.250,0.020,0.976
-0.272,0.019,0.976
-0.275,0.015,0.981
-0.269,0.019,0.974
-0.271,0.019,0.973
-0.286,0.020,0.967
-0.292,0.020,0.964
-0.295,0.029,0.964
-0.297,0.024,0.964
-0.293,0.029,0.962
-0.303,0.028,0.962
-0.308,0.027,0.961
-0.312,0.028,0.962
-0.310,0.026,0.964
-0.306,0.024,0.970
-0.308,0.026,0.970
-0.309,0.030,0.969
-0.317,0.029,0.967
-0.324,0.030,0.968
-0.325,0.030,0.958
-0.328,0.030,0.956
-0.344,0.032,0.953
-0.349,0.035,0.956
-0.363,0.031,0.953
-0.365,0.038,0.949
-0.365,0.033,0.942
-0.364,0.035,0.937
-0.370,0.038,0.934
-0.378,0.038,0.932
-0.383,0.037,0.935
-0.387,0.041,0.939
-0.389,0.042,0.942
-0.390,0.037,0.940
-0.392,0.037,0.938
-0.397,0.041,0.934
-0.394,0.056,0.939
