mx,my,mz
34.937,-3.052,52.124
35.864,-2.832,51.965
35.864,-2.832,51.965
36.572,-3.357,50.806
38.452,-4.077,51.428
39.160,-4.041,48.633
40.686,-3.979,48.584
42.175,-4.834,46.350
42.175,-4.834,46.350
44.495,-4.456,45.972
45.837,-4.492,44.531
47.949,-4.346,44.019
49.719,-3.821,42.126
51.562,-4.199,39.441
51.562,-4.199,39.441
52.893,-3.625,36.780
53.906,-3.711,33.142
54.712,-4.041,31.104
56.958,-3.235,27.734
56.921,-2.893,25.195
56.921,-2.893,25.195
57.666,-1.550,22.522
58.289,-0.940,18.945
58.777,0.427,17.493
58.789,0.842,14.722
58.289,1.318,12.451
57.788,1.282,10.034
57.788,1.282,10.034
57.373,2.258,7.434
57.776,3.442,6.140
57.776,3.442,6.140
57.776,3.442,6.140
57.214,3.882,4.675
57.214,3.882,4.675
57.861,4.321,5.054
57.861,4.321,5.054
57.397,3.687,6.445
57.397,3.687,6.445
57.397,3.687,6.445
58.191,3.906,5.212
58.191,3.906,5.212
56.995,4.089,5.298
56.995,4.089,5.298
58.008,3.711,4.309
58.008,3.711,4.309
58.008,3.711,4.309
56.946,4.175,4.773
56.946,4.175,4.773
57.349,3.760,4.272
57.349,3.760,4.272
56.445,4.224,2.332
56.445,4.224,2.332
56.445,4.224,2.332
56.714,4.004,1.794
56.714,4.004,1.794
54.785,4.895,0.964
56.030,5.188,-0.623
53.931,4.138,-2.429
53.748,4.590,-3.479
52.722,4.517,-4.480
53.748,5.017,-5.103
52.795,4.822,-4.700
52.795,4.822,-4.700
53.772,4.956,-5.334
52.771,6.567,-4.736
53.174,9.924,-6.958
52.051,14.746,-7.019
52.051,14.746,-7.019
51.489,20.032,-8.594
50.415,22.400,-9.058
49.707,26.294,-7.568
48.206,28.931,-7.507
46.606,31.287,-9.424
44.641,33.215,-8.606
44.641,33.215,-8.606
43.689,34.204,-10.095
42.419,34.705,-10.791
41.809,35.352,-10.596
41.309,34.753,-11.316
41.528,35.120,-11.230
41.528,35.120,-11.230
41.382,35.376,-10.144
40.637,36.340,-10.632
38.208,38.721,-9.473
33.521,41.101,-9.692
27.051,44.775,-11.316
27.051,44.775,-11.316
18.103,48.120,-12.000
8.215,50.049,-13.013
-2.075,50.488,-13.330
-12.537,49.829,-13.184
-21.313,46.765,-14.258
-21.313,46.765,-14.258
-31.091,42.981,-14.722
-36.963,36.694,-14.685
-42.151,30.396,-13.281
-43.335,22.803,-13.782
-44.458,16.077,-13.013
-44.458,16.077,-13.013
-41.931,11.084,-12.378
-40.686,6.030,-11.523
-37.317,2.612,-10.693
-35.413,-1.050,-10.938
-32.153,-3.271,-10.229
-32.153,-3.271,-10.229
