x,y,z
-3.955,12.659,20.349
-4.993,13.794,20.178
-5.103,14.783,20.410
-6.494,16.125,19.568
-6.494,16.125,19.568
-6.519,18.188,20.020
-6.970,19.592,20.618
-6.982,20.508,20.215
-6.909,20.667,19.958
-7.202,21.497,19.873
-7.202,21.497,19.873
-6.970,21.960,20.093
-7.922,23.145,20.081
-7.031,23.901,20.276
-7.617,24.170,19.678
-7.617,24.170,19.678
-7.751,24.451,19.128
-8.032,24.841,18.567
-7.349,24.329,20.081
-7.764,24.817,18.188
-7.190,25.037,20.337
-7.947,24.268,19.397
-7.947,24.268,19.397
-7.458,24.084,20.361
-6.958,24.231,20.032
-7.043,24.097,18.701
-7.495,24.255,19.360
-7.495,24.255,19.360
-7.751,24.573,19.031
-7.153,23.987,19.482
-7.947,24.719,19.458
-7.544,24.426,19.690
-7.507,24.536,19.543
-7.104,24.158,20.959
-7.104,24.158,20.959
-7.642,24.829,20.154
-7.434,24.866,19.873
-7.617,24.792,19.971
-8.105,25.403,19.873
-8.118,24.841,19.824
-8.118,24.841,19.824
-7.971,24.707,19.971
-7.739,25.464,20.483
-7.703,24.438,19.934
-7.947,24.451,19.043
-7.947,24.451,19.043
-8.044,24.451,19.470
-7.446,24.854,20.557
-7.544,24.719,20.667
-7.751,24.609,18.933
-7.605,25.195,19.885
-7.422,24.377,19.751
-7.422,24.377,19.751
-7.703,24.634,20.447
-7.788,23.950,19.800
-7.007,23.828,20.117
-7.178,24.548,20.142
-7.434,25.024,20.557
-7.434,25.024,20.557
-7.288,24.329,21.228
-7.153,23.755,20.813
-6.970,23.792,20.325
-7.434,23.584,19.543
-7.434,23.584,19.543
-7.751,24.060,21.106
-7.056,23.804,19.885
-7.129,23.535,19.922
-7.397,23.621,20.300
-7.593,23.474,19.873
-7.410,23.364,20.923
-7.410,23.364,20.923
-7.056,22.742,20.898
-7.153,22.205,20.752
-7.642,22.888,19.592
-7.556,22.705,20.178
-7.556,22.705,20.178
-7.080,22.485,18.713
-7.104,23.035,19.287
-6.738,23.242,19.373
-7.556,23.401,19.250
-7.080,22.888,20.117
-7.678,23.792,19.885
-7.678,23.792,19.885
-7.361,23.279,20.581
-7.153,23.291,19.714
-7.788,23.328,19.324
-7.153,23.047,19.678
-6.799,23.254,19.958
-8.032,23.206,19.495
-7.690,22.961,19.568
-7.312,22.522,20.483
-7.068,23.010,19.910
-6.763,23.242,20.166
-6.763,23.242,20.166
-6.262,23.364,19.836
-5.847,24.707,19.934
-6.519,26.318,19.531
-7.166,28.247,19.788
-7.166,28.247,19.788
-7.349,30.872,18.152
-7.593,33.704,18.054
-7.874,37.097,16.675
-8.057,41.455,15.552
-8.679,44.983,13.635
-8.447,46.814,12.598
-8.447,46.814,12.598
-8.789,49.023,10.706
-9.192,51.660,9.082
-9.045,53.394,6.165
-9.253,55.579,3.333
-9.082,57.019,2.356
-9.082,57.019,2.356
-9.277,58.643,0.330
-9.229,59.155,-1.929
-9.753,60.034,-3.040
-9.595,60.364,-5.029
-10.559,61.426,-6.689
-10.559,61.426,-6.689
-9.875,61.768,-8.557
-9.998,63.208,-9.949
-10.278,63.354,-13.074
-10.693,63.977,-14.819
-10.840,63.721,-18.164
-10.840,63.721,-18.164
-10.791,64.429,-18.237
-9.839,64.246,-17.651
-10.608,64.722,-17.212
-10.669,63.855,-18.201
-10.278,64.331,-16.736
-10.278,64.331,-16.736
-10.254,64.856,-17.432
-10.376,63.965,-19.238
-9.766,64.014,-18.774
-10.632,63.977,-18.372
-10.291,64.062,-17.712
-10.291,64.062,-17.712
-9.741,63.647,-17.651
-9.949,64.282,-17.798
-9.937,63.867,-17.859
-10.193,63.879,-17.004
-10.107,63.843,-18.225
-10.242,63.953,-16.943
-10.242,63.953,-16.943
-10.120,63.269,-17.847
-10.339,63.745,-17.297
-9.705,64.856,-17.407
-9.912,64.331,-16.931
-9.888,63.843,-17.566
-9.888,63.843,-17.566
-9.851,63.635,-17.871
-9.802,63.782,-17.615
-10.400,64.160,-18.567
-9.863,64.026,-18.469
-9.802,63.953,-18.665
-9.802,63.953,-18.665
-10.193,64.258,-16.748
-10.156,63.550,-18.701
-10.510,64.246,-17.432
-10.571,64.014,-17.871
-10.681,63.672,-17.529
-10.681,63.672,-17.529
-9.924,63.770,-16.663
-9.717,64.075,-15.857
-9.082,63.110,-14.502
-9.143,63.733,-12.903
-8.350,63.745,-11.877
-8.350,63.745,-11.877
-8.630,63.525,-10.730
-6.689,63.647,-9.729
-6.042,63.818,-8.496
-4.932,63.538,-7.227
-3.760,63.318,-7.080
-3.760,63.318,-7.080
-1.672,63.171,-5.701
0.281,64.404,-6.091
1.782,64.209,-5.103
2.893,63.672,-4.077
4.346,63.513,-4.944
4.346,63.513,-4.944
5.969,63.818,-3.882
7.922,63.379,-3.674
9.155,62.585,-3.247
11.206,62.561,-2.991
12.891,62.463,-3.687
12.891,63.000,-3.589
14.001,63.000,-3.589
15.125,62.024,-4.639
16.772,62.097,-4.883
18.982,62.769,-5.798
20.508,62.439,-6.140
20.508,62.439,-6.140
21.863,62.048,-7.361
23.743,62.061,-8.472
24.963,61.743,-9.741
26.086,61.609,-11.304
27.295,61.670,-13.086
27.295,61.670,-13.086
28.210,61.255,-14.661
29.004,60.632,-16.101
29.871,60.095,-14.136
29.944,60.071,-13.477
29.944,60.071,-13.477
30.933,61.011,-15.491
30.823,60.388,-21.606
31.665,60.205,-24.011
31.750,60.376,-25.623
32.080,59.766,-26.733
31.726,60.388,-28.674
31.726,60.388,-28.674
30.994,60.486,-29.187
30.676,59.509,-31.287
29.883,60.022,-30.627
29.456,60.156,-33.142
28.821,59.045,-34.656
28.821,59.045,-34.656
28.271,59.778,-36.316
26.318,58.826,-36.865
26.392,58.960,-37.573
24.951,59.497,-38.586
24.255,59.998,-38.330
24.255,59.998,-38.330
23.389,59.851,-39.905
21.716,59.814,-40.942
19.800,59.509,-41.516
18.066,59.875,-41.553
15.259,59.595,-41.663
15.259,59.595,-41.663
12.952,59.961,-41.516
12.024,60.181,-42.249
10.840,60.059,-41.382
8.875,60.120,-41.211
8.875,60.120,-41.211
7.227,59.595,-41.235
5.505,60.608,-40.771
3.979,59.900,-39.966
2.319,61.438,-39.905
0.793,60.645,-38.452
0.793,60.645,-38.452
-0.562,61.133,-37.341
-1.599,60.303,-36.853
-1.660,60.498,-36.719
-2.112,60.205,-36.328
-2.881,61.084,-34.521
-2.881,61.084,-34.521
-3.308,61.304,-34.595
-3.540,61.536,-34.485
-4.419,61.511,-34.644
-4.956,61.804,-33.777
-5.237,61.279,-31.482
-5.237,61.279,-31.482
-5.334,61.426,-30.640
-6.018,61.865,-29.980
-6.641,61.670,-28.174
-6.604,61.584,-28.772
-7.043,62.280,-27.979
-7.043,62.280,-27.979
-6.934,62.195,-26.807
-7.703,62.024,-26.733
-6.909,61.755,-25.977
-6.726,61.719,-24.402
-7.312,61.926,-24.829
-7.312,61.926,-24.829
-7.043,61.963,-23.401
-7.092,61.902,-22.571
-6.653,61.633,-23.010
-6.860,62.061,-23.950
-6.604,62.549,-22.583
-6.543,62.122,-23.511
-6.543,62.122,-23.511
-6.860,61.816,-23.828
-6.946,61.853,-23.645
-6.726,61.707,-23.560
-6.567,62.280,-24.817
-6.567,62.280,-24.817
-6.177,61.975,-24.451
-6.543,61.462,-24.097
-6.604,61.707,-25.183
-6.799,61.560,-26.001
-6.812,62.244,-26.355
-6.812,62.244,-26.355
-5.945,61.841,-26.147
-5.505,62.158,-26.160
-5.774,61.987,-29.028
-5.090,62.280,-29.993
-4.578,61.633,-31.311
-2.759,61.646,-33.252
-2.759,61.646,-33.252
-2.258,61.523,-35.046
-1.868,62.402,-36.206
-0.769,61.902,-37.561
1.306,62.280,-36.560
3.052,62.244,-38.953
3.052,62.244,-38.953
4.724,62.048,-39.246
6.543,61.804,-41.077
7.446,61.841,-40.869
8.618,61.682,-41.577
9.631,61.389,-40.186
9.631,61.389,-40.186
10.901,61.841,-40.088
11.450,61.829,-40.698
13.428,61.218,-39.673
15.735,61.462,-39.038
18.225,61.536,-39.429
18.225,61.536,-39.429
19.849,61.121,-39.014
22.229,61.523,-36.877
23.804,61.389,-36.462
25.195,60.962,-35.254
26.611,60.889,-33.887
27.136,61.011,-33.899
28.235,60.657,-34.009
28.235,60.657,-32.568
27.637,60.706,-32.568
27.576,60.889,-32.642
28.296,61.230,-32.983
27.344,61.047,-32.935
28.015,60.522,-32.886
28.015,60.522,-32.886
27.698,60.876,-32.910
27.405,61.047,-33.484
27.966,60.669,-32.739
28.369,60.962,-32.263
29.138,61.182,-30.835
30.164,61.292,-28.711
30.164,61.292,-28.711
29.736,61.292,-27.405
30.554,60.266,-25.427
30.920,60.767,-22.839
31.079,60.205,-21.155
31.079,60.205,-21.155
30.786,61.243,-21.228
31.348,60.620,-18.750
30.652,60.535,-19.006
30.627,60.205,-17.627
30.945,60.583,-16.516
30.261,60.889,-16.333
30.261,60.889,-16.333
29.578,60.986,-14.221
29.492,60.474,-12.830
27.917,60.938,-10.034
26.746,60.413,-8.130
24.255,61.243,-6.824
24.255,61.243,-6.824
22.424,60.852,-7.068
20.227,61.072,-4.004
18.164,61.926,-3.284
16.553,61.755,-2.295
16.553,61.755,-2.295
15.002,62.561,-2.161
13.147,62.402,-1.794
10.938,63.013,-2.576
8.850,63.367,-2.759
6.628,63.684,-2.551
4.883,63.562,-1.819
4.883,63.562,-1.819
2.722,63.220,-0.745
1.331,62.964,-0.415
-0.293,62.488,-1.270
-1.880,62.720,-2.283
-1.880,62.720,-2.283
-3.650,62.439,-2.271
-4.761,63.293,-4.150
-5.884,63.342,-6.128
-6.799,63.123,-6.201
-7.715,63.464,-7.837
-8.582,63.855,-9.717
-8.704,63.440,-11.938
-8.704,63.440,-11.938
-9.033,64.453,-13.416
-9.167,64.941,-14.685
-9.473,64.221,-14.819
-9.351,64.014,-14.746
-9.351,64.014,-14.746
-9.412,64.465,-15.271
-9.521,64.209,-15.527
-9.241,63.721,-16.455
-9.363,64.331,-18.274
-9.277,64.429,-18.494
-9.644,63.977,-18.616
-9.644,63.977,-18.616
-9.851,64.624,-17.908
-9.448,64.050,-18.433
-8.582,63.867,-19.312
-9.351,64.514,-20.312
-9.351,64.514,-19.861
-9.558,64.893,-19.861
-9.668,64.771,-20.117
-9.180,64.539,-19.299
-9.143,64.856,-19.202
-9.644,64.661,-18.970
