x,y,z
-0.060,0.011,-1.007
-0.059,0.013,-1.007
-0.060,0.011,-1.005
-0.059,0.011,-1.006
-0.060,0.010,-1.004
-0.059,0.013,-1.005
-0.058,0.011,-1.005
-0.060,0.010,-1.005
-0.059,0.012,-1.006
-0.059,0.011,-1.008
-0.059,0.011,-1.006
-0.059,0.012,-1.006
-0.059,0.011,-1.005
-0.059,0.012,-1.006
-0.060,0.010,-1.006
-0.060,0.012,-1.005
-0.059,0.011,-1.005
-0.060,0.012,-1.004
-0.059,0.012,-1.006
-0.060,0.012,-1.005
-0.059,0.012,-1.008
-0.060,0.011,-1.004
-0.061,0.011,-1.005
-0.061,0.012,-1.005
-0.059,0.011,-1.004
-0.060,0.012,-1.006
-0.060,0.011,-1.007
-0.060,0.011,-1.005
-0.059,0.011,-1.007
-0.061,0.011,-1.004
-0.060,0.012,-1.009
-0.061,0.010,-1.004
-0.061,0.012,-1.006
-0.060,0.012,-1.005
-0.060,0.012,-1.007
-0.061,0.012,-1.005
-0.061,0.011,-1.004
-0.061,0.012,-1.006
-0.060,0.011,-1.006
-0.061,0.012,-1.004
-0.060,0.011,-1.006
-0.061,0.011,-1.005
-0.061,0.011,-1.005
-0.060,0.012,-1.006
-0.060,0.011,-1.004
-0.060,0.011,-1.007
-0.061,0.011,-1.005
-0.060,0.011,-1.005
-0.062,0.011,-1.005
-0.063,0.012,-1.004
-0.062,0.012,-1.006
-0.062,0.010,-1.005
-0.061,0.012,-1.008
-0.062,0.010,-1.005
-0.063,0.012,-1.004
-0.062,0.012,-1.006
-0.063,0.010,-1.004
-0.062,0.012,-1.009
-0.062,0.011,-1.006
-0.063,0.011,-1.005
-0.063,0.011,-1.004
-0.063,0.012,-1.006
-0.063,0.012,-1.005
-0.063,0.011,-1.004
-0.065,0.012,-1.006
-0.064,0.010,-1.005
-0.065,0.011,-1.005
-0.064,0.011,-1.005
-0.065,0.010,-1.004
-0.064,0.012,-1.005
-0.065,0.011,-1.004
-0.064,0.012,-1.005
-0.063,0.012,-1.006
-0.064,0.011,-1.005
-0.064,0.011,-1.005
-0.064,0.010,-1.005
-0.065,0.011,-1.005
-0.064,0.010,-1.005
-0.064,0.012,-1.006
-0.065,0.011,-1.005
-0.065,0.010,-1.005
-0.064,0.011,-1.008
-0.065,0.011,-1.005
-0.065,0.012,-1.005
-0.065,0.012,-1.005
-0.064,0.010,-1.005
-0.065,0.012,-1.007
-0.065,0.010,-1.005
-0.064,0.011,-1.009
-0.065,0.010,-1.006
-0.066,0.011,-1.005
-0.065,0.011,-1.005
-0.065,0.010,-1.006
-0.066,0.012,-1.003
-0.065,0.010,-1.004
-0.066,0.011,-1.005
-0.064,0.013,-1.005
-0.066,0.011,-1.005
-0.066,0.011,-1.006
-0.064,0.010,-1.007
-0.064,0.012,-1.005
-0.065,0.010,-1.006
-0.065,0.012,-1.005
-0.065,0.011,-1.005
-0.066,0.010,-1.004
-0.066,0.011,-1.004
-0.065,0.010,-1.004
-0.066,0.011,-1.007
-0.065,0.010,-1.005
-0.067,0.010,-1.004
-0.064,0.012,-1.007
-0.065,0.009,-1.002
-0.065,0.011,-1.009
-0.067,0.009,-1.002
-0.066,0.010,-1.006
-0.066,0.009,-1.004
-0.066,0.011,-1.005
-0.067,0.010,-1.002
-0.066,0.009,-1.007
-0.067,0.011,-1.004
-0.066,0.010,-1.005
-0.067,0.011,-1.004
-0.067,0.011,-1.007
-0.066,0.010,-1.006
-0.068,0.010,-1.005
-0.067,0.009,-1.007
-0.068,0.011,-1.002
-0.067,0.011,-1.005
-0.067,0.010,-1.005
-0.068,0.011,-1.003
-0.067,0.010,-1.006
-0.068,0.011,-1.004
-0.068,0.009,-1.005
-0.069,0.010,-1.002
-0.066,0.010,-1.008
-0.067,0.011,-1.003
-0.066,0.011,-1.007
-0.068,0.010,-1.006
-0.066,0.011,-1.005
-0.068,0.009,-1.003
-0.067,0.011,-1.005
-0.070,0.009,-0.995
-0.067,0.010,-0.998
-0.069,0.011,-0.993
-0.062,0.011,-1.020
-0.067,0.012,-0.994
-0.064,0.011,-1.006
-0.066,0.011,-0.999
-0.066,0.010,-1.007
-0.068,0.011,-0.996
-0.064,0.011,-1.006
-0.068,0.010,-0.999
-0.068,0.011,-1.002
-0.066,0.007,-1.006
-0.067,0.009,-1.001
-0.013,0.993,0.006
-0.011,0.995,0.004
-0.011,0.993,0.000
-0.014,0.991,0.002
-0.010,0.995,0.006
-0.010,0.995,0.006
-0.013,0.992,0.002
-0.012,0.993,0.000
-0.013,0.994,0.003
-0.012,0.997,0.007
-0.012,0.997,0.006
-0.013,0.996,0.005
-0.014,0.996,0.002
-0.014,0.996,0.008
-0.014,0.996,0.004
-0.013,0.995,-0.001
-0.010,0.993,0.009
-0.011,0.992,0.008
-0.013,0.992,0.007
-0.012,0.991,0.000
-0.011,0.991,0.000
-0.011,0.992,0.002
-0.011,0.992,0.005
-0.011,0.991,0.003
-0.010,0.992,0.001
-0.012,0.992,0.004
-0.011,0.992,0.004
-0.011,0.993,0.001
-0.011,0.991,0.001
-0.012,0.991,0.001
-0.011,0.993,0.003
-0.010,0.991,0.003
-0.012,0.992,0.002
-0.011,0.992,0.001
-0.012,0.994,0.000
-0.012,0.992,0.000
-0.012,0.991,0.001
-0.012,0.993,0.001
-0.012,0.992,0.001
-0.013,0.992,0.001
-0.013,0.992,0.000
-0.011,0.993,0.001
-0.012,0.994,0.000
-0.014,0.993,0.000
-0.012,0.994,0.001
-0.012,0.994,0.001
-0.013,0.994,0.000
-0.014,0.993,-0.003
-0.014,0.995,0.000
-0.016,0.996,-0.001
-0.016,0.996,-0.006
-0.017,0.999,-0.002
-0.019,0.997,-0.004
-0.019,0.997,-0.007
-0.019,0.997,-0.004
-0.019,0.999,-0.006
-0.019,0.997,-0.006
-0.018,0.997,-0.005
-0.019,0.997,-0.007
-0.018,0.997,-0.006
-0.019,0.999,-0.007
-0.018,0.995,-0.007
-0.020,0.999,-0.004
-0.018,0.998,-0.009
-0.018,0.997,-0.005
-0.019,1.000,-0.007
